Room Number,Category,Family,Type,Quantity,Commissioning planned date,Type of room,Area,מסמכים סופקו
L5008,Electrical Equipment,M_Circuit Breaker Switchboard,100mmx46mm,2,18-May-25,it /security room,32.4,לא
L5008,Electrical Equipment,M_Transformer Switchboard,400mmx250mmx600h,2,18-May-25,it /security room,32.4,לא
L5008,Electrical Fixtures,SOCKETS1,x×©×§×¢ ×ª×§×©×•×¨×ª 2,2,18-May-25,it /security room,32.4,לא
L5009,Mechanical Equipment,AWSQ 450,AWSQ 450,1,18-May-25,service zone (fire),9.85,לא
L5012,Electrical Fixtures,Frame_Socket,Normal x1 WP,1,18-May-25,women w.c,13.59,כן
L5012,Electrical Fixtures,Frame_Socket,Type 2,3,18-May-25,women w.c,13.59,כן
L5013,Electrical Equipment,Yani_Circuit breaker_SwitchBoard,60x240x210  GEN,1,18-May-25,electricity shaft,3.08,לא
L5013,Electrical Fixtures,SOCKETS1,x×©×§×¢ ×ª×§×©×•×¨×ª 2,1,18-May-25,electricity shaft,3.08,לא
L5017,Electrical Equipment,Yani_Circuit breaker_SwitchBoard,60x240x210,1,18-May-25,electricity shaft,4.41,כן
L5017,Electrical Fixtures,SOCKETS1,x×©×§×¢ ×ª×§×©×•×¨×ª 2,1,18-May-25,electricity shaft,4.41,כן
L5023,Electrical Fixtures,Frame_Socket,FOR LSS UPS,1,18-May-25,LSS shaft,0.9,כן
L5025,Lighting Fixtures,×¡×™ ×œ×“ 6600,42W 4000K 24h,1,18-May-25,elevators Lobby,32.35,כן
L5025,Mechanical Equipment,AW 800,AW 800,1,18-May-25,elevators Lobby,32.35,כן
L5027,Mechanical Equipment,AWSQ 1000,AWSQ 1000,1,18-May-25,shelter,51.68,כן
L5027,Mechanical Equipment,AWSQ 1500,AWSQ 1500,1,18-May-25,shelter,51.68,כן
L5028,Electrical Fixtures,Frame_Socket,Normal x1 WP,1,18-May-25,men w.c,13.49,כן
L5028,Electrical Fixtures,Frame_Socket,Type 2,3,18-May-25,men w.c,13.49,כן
L5032,Electrical Equipment,M_Circuit Breaker Switchboard,100mmx46mm,2,18-May-25,it /security room,32.4,לא
L5032,Electrical Equipment,M_Transformer Switchboard,400mmx250mmx600h,2,18-May-25,it /security room,32.4,לא
L5032,Electrical Fixtures,SOCKETS1,x×©×§×¢ ×ª×§×©×•×¨×ª 2,2,18-May-25,it /security room,32.4,לא
L5033,Mechanical Equipment,AWSQ 450,AWSQ 450,1,18-May-25,service zone (fire),9.86,כן
L5037,Electrical Fixtures,Frame_Socket,Normal x1 WP,1,18-May-25,women w.c,13.59,לא
L5037,Electrical Fixtures,Frame_Socket,Type 2,3,18-May-25,women w.c,13.59,לא
L5038,Electrical Equipment,Yani_Circuit breaker_SwitchBoard,60x240x210  GEN,1,18-May-25,electricity room,3.08,לא
L5038,Electrical Fixtures,SOCKETS1,x×©×§×¢ ×ª×§×©×•×¨×ª 2,1,18-May-25,electricity room,3.08,לא
